Username ,First Name,Last Name,IP Phone,Notes
Darley-Room110,Darley-Room110,Resident,6810,SYSTEMACCOUNT
Darley-Room111,Darley-Room111,Resident,6811,SYSTEMACCOUNT
Darley-Room112,Darley-Room112,Resident,6812,SYSTEMACCOUNT
Darley-Room113,Darley-Room113,Resident,6813,SYSTEMACCOUNT
Darley-Room114,Darley-Room114,Resident,6814,SYSTEMACCOUNT
Darley-Room115,Darley-Room115,Resident,6815,SYSTEMACCOUNT
Darley-Room116,Darley-Room116,Resident,6816,SYSTEMACCOUNT
Darley-Room117,Darley-Room117,Resident,6817,SYSTEMACCOUNT
Darley-Room118,Darley-Room118,Resident,6818,SYSTEMACCOUNT
Darley-Room119,Darley-Room119,Resident,6819,SYSTEMACCOUNT
Darley-Room120,Darley-Room120,Resident,6820,SYSTEMACCOUNT
Darley-Room121,Darley-Room121,Resident,6821,SYSTEMACCOUNT
Darley-Room122,Darley-Room122,Resident,6822,SYSTEMACCOUNT
Darley-Room123,Darley-Room123,Resident,6823,SYSTEMACCOUNT
Darley-Room124,Darley-Room124,Resident,6824,SYSTEMACCOUNT
Darley-Room125,Darley-Room125,Resident,6825,SYSTEMACCOUNT
Darley-Room126,Darley-Room126,Resident,6826,SYSTEMACCOUNT
Darley-Room127,Darley-Room127,Resident,6827,SYSTEMACCOUNT
Darley-Room128,Darley-Room128,Resident,6828,SYSTEMACCOUNT
Darley-Room129,Darley-Room129,Resident,6829,SYSTEMACCOUNT
Darley-Room130,Darley-Room130,Resident,6830,SYSTEMACCOUNT
Darley-Room131,Darley-Room131,Resident,6831,SYSTEMACCOUNT
Darley-Room132,Darley-Room132,Resident,6832,SYSTEMACCOUNT
Darley-Room133,Darley-Room133,Resident,6833,SYSTEMACCOUNT
Darley-Room134,Darley-Room134,Resident,6834,SYSTEMACCOUNT
Darley-Room135,Darley-Room135,Resident,6835,SYSTEMACCOUNT
Darley-Room136,Darley-Room136,Resident,6836,SYSTEMACCOUNT
Darley-Room137,Darley-Room137,Resident,6837,SYSTEMACCOUNT
Darley-Room138,Darley-Room138,Resident,6838,SYSTEMACCOUNT
Darley-Room139,Darley-Room139,Resident,6839,SYSTEMACCOUNT
Darley-Room140,Darley-Room140,Resident,6840,SYSTEMACCOUNT
Darley-Room141,Darley-Room141,Resident,6841,SYSTEMACCOUNT
Darley-Room142,Darley-Room142,Resident,6842,SYSTEMACCOUNT
Darley-Room143,Darley-Room143,Resident,6843,SYSTEMACCOUNT
Darley-Room144,Darley-Room144,Resident,6844,SYSTEMACCOUNT
